pdam_00017423-RA  ( 231 ) -> [  Q8NGZ6  | percent(87.01 ) | e_value( 9E-31 ) | protein_name( OR6F1_HUMAN Olfactory receptor 6F1  ) | prob( 99.9 ) | p_value( 2.2E-34 ) | Score( 239.0 ) | SS( 0.0 ) | Cols( 268 ) | QueryHMM( 23-300 ) ]
pdam_00019867-RA  ( 1 ) -> [  P30989  | percent(69.86 ) | e_value( 1.1E-34 ) | protein_name( NTR1_HUMAN Neurotensin receptor type 1  ) | prob( 100.0 ) | p_value( 3.2E-38 ) | Score( 220.2 ) | SS( 0.0 ) | Cols( 292 ) | QueryHMM( 60-383 ) ]

pdam_00011786-RA  ( 1 ) -> [  P34995  | percent(74.13 ) | e_value( 5.9E-16 ) | protein_name( PE2R1_HUMAN Prostaglandin E2 receptor EP1 subtype  ) | prob( 99.2 ) | p_value( 1.7E-19 ) | Score( 112.2 ) | SS( 0.0 ) | Cols( 298 ) | QueryHMM( 41-370 ) ]

pdam_00016347-RA  ( 1 ) -> [  P35410  | percent(62.70 ) | e_value( 1.1E-16 ) | protein_name( MAS1L_HUMAN Mas-related G-protein coupled receptor MRG  ) | prob( 99.3 ) | p_value( 3E-20 ) | Score( 120.1 ) | SS( 0.0 ) | Cols( 237 ) | QueryHMM( 82-328 ) ]

pdam_00007215-RA  ( 1 ) -> [  P35408  | percent(56.15 ) | e_value( 9.5E-34 ) | protein_name( PE2R4_HUMAN Prostaglandin E2 receptor EP4 subtype  ) | prob( 99.9 ) | p_value( 2.5E-37 ) | Score( 238.2 ) | SS( 0.0 ) | Cols( 274 ) | QueryHMM( 22-359 ) ]

pdam_00005404-RA  ( 1 ) -> [  P41180  | percent(74.03 ) | e_value( 2E-102 ) | protein_name( CASR_HUMAN Extracellular calcium-sensing receptor  ) | prob( 100.0 ) | p_value( 5E-106 ) | Score( 806.1 ) | SS( 0.0 ) | Cols( 798 ) | QueryHMM( 24-872 ) ]

pdam_00009434-RA  ( 1 ) -> [  P41594  | percent(65.51 ) | e_value( 4.1E-97 ) | protein_name( GRM5_HUMAN Metabotropic glutamate receptor 5  ) | prob( 100.0 ) | p_value( 1E-100 ) | Score( 753.7 ) | SS( 0.0 ) | Cols( 794 ) | QueryHMM( 28-839 ) ]

pdam_00002488-RA  ( 1 ) -> [  P43116  | percent(81.56 ) | e_value( 1.8E-23 ) | protein_name( PE2R2_HUMAN Prostaglandin E2 receptor EP2 subtype  ) | prob( 99.7 ) | p_value( 5.3E-27 ) | Score( 153.8 ) | SS( 0.0 ) | Cols( 292 ) | QueryHMM( 27-335 ) ]

pdam_00021693-RA  ( 1 ) -> [  P46663  | percent(82.44 ) | e_value( 5.7E-34 ) | protein_name( BKRB1_HUMAN B1 bradykinin receptor  ) | prob( 99.9 ) | p_value( 1.6E-37 ) | Score( 212.0 ) | SS( 0.0 ) | Cols( 291 ) | QueryHMM( 33-333 ) ]

pdam_00007449-RA  ( 1 ) -> [  P50391  | percent(76.53 ) | e_value( 6.7E-36 ) | protein_name( NPY4R_HUMAN Neuropeptide Y receptor type 4  ) | prob( 100.0 ) | p_value( 1.9E-39 ) | Score( 226.0 ) | SS( 0.0 ) | Cols( 287 ) | QueryHMM( 41-344 ) ]

pdam_00003331-RA  ( 1 ) -> [  P51810  | percent(42.82 ) | e_value( 6.8E-12 ) | protein_name( GP143_HUMAN G-protein coupled receptor 143  ) | prob( 98.5 ) | p_value( 1.7E-15 ) | Score( 109.8 ) | SS( 0.0 ) | Cols( 173 ) | QueryHMM( 113-310 ) ]

pdam_00004281-RA  ( 1 ) -> [  P59551  | percent(38.99 ) | e_value( 2.2E-08 ) | protein_name( T2R60_HUMAN Taste receptor type 2 member 60  ) | prob( 97.5 ) | p_value( 6.3E-12 ) | Score( 68.7 ) | SS( 0.0 ) | Cols( 124 ) | QueryHMM( 1-130 ) ]

pdam_00006786-RA  ( 1 ) -> [  P61073  | percent(79.55 ) | e_value( 2.4E-36 ) | protein_name( CXCR4_HUMAN C-X-C chemokine receptor type 4  ) | prob( 100.0 ) | p_value( 6.9E-40 ) | Score( 227.5 ) | SS( 0.0 ) | Cols( 280 ) | QueryHMM( 32-319 ) ]

pdam_00006140-RA  ( 1 ) -> [  Q01726  | percent(93.06 ) | e_value( 3.4E-29 ) | protein_name( MSHR_HUMAN Melanocyte-stimulating hormone receptor  ) | prob( 99.9 ) | p_value( 9.3E-33 ) | Score( 189.7 ) | SS( 0.0 ) | Cols( 295 ) | QueryHMM( 11-316 ) ]

pdam_00003981-RA  ( 1 ) -> [  Q14439  | percent(58.64 ) | e_value( 4.7E-27 ) | protein_name( GP176_HUMAN G-protein coupled receptor 176  ) | prob( 99.8 ) | p_value( 1.2E-30 ) | Score( 210.1 ) | SS( 0.0 ) | Cols( 302 ) | QueryHMM( 37-458 ) ]

pdam_00007438-RA  ( 1 ) -> [  Q16570  | percent(72.02 ) | e_value( 0.0013 ) | protein_name( ACKR1_HUMAN Atypical chemokine receptor 1  ) | prob( 92.9 ) | p_value( 3.8E-07 ) | Score( 44.8 ) | SS( 0.0 ) | Cols( 242 ) | QueryHMM( 62-316 ) ]

pdam_00010164-RA  ( 1 ) -> [  Q5UAW9  | percent(83.58 ) | e_value( 1.6E-27 ) | protein_name( GP157_HUMAN G-protein coupled receptor 157  ) | prob( 99.9 ) | p_value( 4.4E-31 ) | Score( 198.0 ) | SS( 0.0 ) | Cols( 280 ) | QueryHMM( 14-298 ) ]

pdam_00003881-RA  ( 1 ) -> [  Q6NV75  | percent(23.32 ) | e_value( 3.9E-14 ) | protein_name( GP153_HUMAN Probable G-protein coupled receptor 153  ) | prob( 98.9 ) | p_value( 1.1E-17 ) | Score( 109.5 ) | SS( 0.0 ) | Cols( 142 ) | QueryHMM( 7-153 ) ]

pdam_00002512-RA  ( 1 ) -> [  Q7RTX1  | percent(93.70 ) | e_value( 7.5E-74 ) | protein_name( TS1R1_HUMAN Taste receptor type 1 member 1  ) | prob( 100.0 ) | p_value( 2E-77 ) | Score( 549.9 ) | SS( 0.0 ) | Cols( 788 ) | QueryHMM( 32-839 ) ]

pdam_00005187-RA  ( 1 ) -> [  Q7Z5H4  | percent(35.57 ) | e_value( 0.0032 ) | protein_name( VN1R5_HUMAN Vomeronasal type-1 receptor 5  ) | prob( 91.3 ) | p_value( 9.3E-07 ) | Score( 42.1 ) | SS( 0.0 ) | Cols( 127 ) | QueryHMM( 47-182 ) ]

pdam_00022799-RA  ( 1 ) -> [  Q7Z5H5  | percent(88.70 ) | e_value( 7.9E-11 ) | protein_name( VN1R4_HUMAN Vomeronasal type-1 receptor 4  ) | prob( 98.3 ) | p_value( 2.3E-14 ) | Score( 80.9 ) | SS( 0.0 ) | Cols( 267 ) | QueryHMM( 15-292 ) ]

pdam_00016109-RA  ( 1 ) -> [  Q7Z601  | percent(56.28 ) | e_value( 1.7E-23 ) | protein_name( GP142_HUMAN Probable G-protein coupled receptor 142  ) | prob( 99.7 ) | p_value( 4.6E-27 ) | Score( 165.0 ) | SS( 0.0 ) | Cols( 260 ) | QueryHMM( 157-430 ) ]

pdam_00006679-RA  ( 1 ) -> [  Q7Z7M1  | percent(35.51 ) | e_value( 9.3E-38 ) | protein_name( AGRD2_HUMAN Adhesion G-protein coupled receptor D2  ) | prob( 100.0 ) | p_value( 2.3E-41 ) | Score( 308.9 ) | SS( 0.0 ) | Cols( 342 ) | QueryHMM( 568-917 ) ]

pdam_00018831-RA  ( 1 ) -> [  Q86SM5  | percent(87.54 ) | e_value( 5E-12 ) | protein_name( MRGRG_HUMAN Mas-related G-protein coupled receptor member G  ) | prob( 98.6 ) | p_value( 1.3E-15 ) | Score( 95.8 ) | SS( 0.0 ) | Cols( 253 ) | QueryHMM( 15-269 ) ]

pdam_00020600-RA  ( 1 ) -> [  Q86SM8  | percent(81.09 ) | e_value( 2.8E-15 ) | protein_name( MRGRE_HUMAN Mas-related G-protein coupled receptor member E  ) | prob( 99.1 ) | p_value( 7.9E-19 ) | Score( 107.8 ) | SS( 0.0 ) | Cols( 253 ) | QueryHMM( 23-275 ) ]

pdam_00016391-RA  ( 1 ) -> [  Q86SQ3  | percent(65.86 ) | e_value( 1.2E-44 ) | protein_name( AGRE4_HUMAN Putative adhesion G protein-coupled receptor E4P  ) | prob( 100.0 ) | p_value( 3.1E-48 ) | Score( 306.5 ) | SS( 0.0 ) | Cols( 301 ) | QueryHMM( 135-448 ) ]

pdam_00008020-RA  ( 1 ) -> [  Q86SQ6  | percent(45.54 ) | e_value( 7.3E-24 ) | protein_name( AGRA1_HUMAN Adhesion G protein-coupled receptor A1  ) | prob( 99.8 ) | p_value( 1.6E-27 ) | Score( 198.9 ) | SS( 0.0 ) | Cols( 255 ) | QueryHMM( 14-318 ) ]

pdam_00014557-RA  ( 1 ) -> [  Q86VZ1  | percent(85.52 ) | e_value( 3.9E-33 ) | protein_name( P2RY8_HUMAN P2Y purinoceptor 8  ) | prob( 99.9 ) | p_value( 1.1E-36 ) | Score( 205.3 ) | SS( 0.0 ) | Cols( 307 ) | QueryHMM( 4-316 ) ]

pdam_00020436-RA  ( 1 ) -> [  Q86Y34  | percent(85.25 ) | e_value( 8.6E-64 ) | protein_name( AGRG3_HUMAN Adhesion G protein-coupled receptor G3  ) | prob( 100.0 ) | p_value( 2E-67 ) | Score( 500.2 ) | SS( 0.0 ) | Cols( 468 ) | QueryHMM( 20-515 ) ]

pdam_00018943-RA  ( 1 ) -> [  Q8IZF5  | percent(46.99 ) | e_value( 4.6E-58 ) | protein_name( AGRF3_HUMAN Adhesion G-protein coupled receptor F3  ) | prob( 100.0 ) | p_value( 1E-61 ) | Score( 493.1 ) | SS( 0.0 ) | Cols( 507 ) | QueryHMM( 472-1043 ) ]

pdam_00022784-RA  ( 1 ) -> [  Q8IZP9  | percent(52.61 ) | e_value( 1.8E-66 ) | protein_name( AGRG2_HUMAN Adhesion G-protein coupled receptor G2  ) | prob( 100.0 ) | p_value( 4.5E-70 ) | Score( 515.0 ) | SS( 0.0 ) | Cols( 535 ) | QueryHMM( 315-898 ) ]

pdam_00019176-RA  ( 1 ) -> [  Q8N6U8  | percent(82.23 ) | e_value( 6.3E-36 ) | protein_name( GP161_HUMAN G-protein coupled receptor 161  ) | prob( 100.0 ) | p_value( 1.3E-39 ) | Score( 298.3 ) | SS( 0.0 ) | Cols( 435 ) | QueryHMM( 29-491 ) ]

pdam_00018430-RA  ( 1 ) -> [  Q8NFZ6  | percent(67.59 ) | e_value( 4.4E-11 ) | protein_name( VN1R2_HUMAN Vomeronasal type-1 receptor 2  ) | prob( 98.3 ) | p_value( 1.2E-14 ) | Score( 89.6 ) | SS( 0.0 ) | Cols( 267 ) | QueryHMM( 95-373 ) ]

pdam_00016105-RA  ( 1 ) -> [  Q8NGF0  | percent(77.31 ) | e_value( 9.7E-28 ) | protein_name( O52B6_HUMAN Olfactory receptor 52B6  ) | prob( 99.9 ) | p_value( 2.4E-31 ) | Score( 201.4 ) | SS( 0.0 ) | Cols( 259 ) | QueryHMM( 42-329 ) ]

pdam_00002493-RA  ( 1 ) -> [  Q8NGU9  | percent(70.28 ) | e_value( 4.5E-20 ) | protein_name( GP150_HUMAN Probable G-protein coupled receptor 150  ) | prob( 99.6 ) | p_value( 1.3E-23 ) | Score( 136.9 ) | SS( 0.0 ) | Cols( 305 ) | QueryHMM( 38-371 ) ]

pdam_00008703-RA  ( 1 ) -> [  Q8TDS7  | percent(78.50 ) | e_value( 2.7E-20 ) | protein_name( MRGRD_HUMAN Mas-related G-protein coupled receptor member D  ) | prob( 99.6 ) | p_value( 7.8E-24 ) | Score( 132.2 ) | SS( 0.0 ) | Cols( 252 ) | QueryHMM( 23-282 ) ]

pdam_00003206-RA  ( 1 ) -> [  Q8TDT2  | percent(84.26 ) | e_value( 6.4E-29 ) | protein_name( GP152_HUMAN Probable G-protein coupled receptor 152  ) | prob( 99.9 ) | p_value( 1.6E-32 ) | Score( 218.7 ) | SS( 0.0 ) | Cols( 396 ) | QueryHMM( 30-430 ) ]

pdam_00004691-RA  ( 1 ) -> [  Q8TDU6  | percent(83.33 ) | e_value( 4.9E-13 ) | protein_name( GPBAR_HUMAN G-protein coupled bile acid receptor 1  ) | prob( 98.7 ) | p_value( 1.4E-16 ) | Score( 94.6 ) | SS( 0.0 ) | Cols( 275 ) | QueryHMM( 23-298 ) ]

pdam_00006760-RA  ( 1 ) -> [  Q8TDV2  | percent(36.89 ) | e_value( 1.5E-12 ) | protein_name( GP148_HUMAN Probable G-protein coupled receptor 148  ) | prob( 98.7 ) | p_value( 4.3E-16 ) | Score( 92.1 ) | SS( 0.0 ) | Cols( 128 ) | QueryHMM( 58-186 ) ]

pdam_00010947-RA  ( 1 ) -> [  Q8TDV0  | percent(89.50 ) | e_value( 5.3E-26 ) | protein_name( GP151_HUMAN G-protein coupled receptor 151  ) | prob( 99.8 ) | p_value( 1.3E-29 ) | Score( 196.9 ) | SS( 0.0 ) | Cols( 375 ) | QueryHMM( 31-410 ) ]

pdam_00004524-RA  ( 1 ) -> [  Q8WXD0  | percent(66.31 ) | e_value( 7.7E-50 ) | protein_name( RXFP2_HUMAN Relaxin receptor 2  ) | prob( 100.0 ) | p_value( 1.9E-53 ) | Score( 395.9 ) | SS( 0.0 ) | Cols( 500 ) | QueryHMM( 161-712 ) ]

pdam_00010835-RA  ( 1 ) -> [  Q92633  | percent(79.95 ) | e_value( 3.4E-32 ) | protein_name( LPAR1_HUMAN Lysophosphatidic acid receptor 1  ) | prob( 99.9 ) | p_value( 1E-35 ) | Score( 199.4 ) | SS( 0.0 ) | Cols( 291 ) | QueryHMM( 45-336 ) ]

pdam_00006692-RA  ( 1 ) -> [  Q96AM1  | percent(76.68 ) | e_value( 6.9E-18 ) | protein_name( MRGRF_HUMAN Mas-related G-protein coupled receptor member F  ) | prob( 99.4 ) | p_value( 2E-21 ) | Score( 121.8 ) | SS( 0.0 ) | Cols( 263 ) | QueryHMM( 45-310 ) ]

pdam_00010127-RA  ( 1 ) -> [  Q96CH1  | percent(77.78 ) | e_value( 2.4E-14 ) | protein_name( GP146_HUMAN Probable G-protein coupled receptor 146  ) | prob( 99.0 ) | p_value( 6.8E-18 ) | Score( 102.8 ) | SS( 0.0 ) | Cols( 259 ) | QueryHMM( 39-325 ) ]

pdam_00017703-RA  ( 1 ) -> [  Q96K78  | percent(64.12 ) | e_value( 1.5E-46 ) | protein_name( AGRG7_HUMAN Adhesion G-protein coupled receptor G7  ) | prob( 100.0 ) | p_value( 3.6E-50 ) | Score( 396.2 ) | SS( 0.0 ) | Cols( 511 ) | QueryHMM( 156-730 ) ]

pdam_00017881-RA  ( 1 ) -> [  Q96LB1  | percent(76.06 ) | e_value( 6.7E-21 ) | protein_name( MRGX2_HUMAN Mas-related G-protein coupled receptor member X2  ) | prob( 99.6 ) | p_value( 1.9E-24 ) | Score( 140.2 ) | SS( 0.0 ) | Cols( 251 ) | QueryHMM( 34-289 ) ]

pdam_00012393-RA  ( 1 ) -> [  Q96LB2  | percent(74.84 ) | e_value( 5.6E-23 ) | protein_name( MRGX1_HUMAN Mas-related G-protein coupled receptor member X1  ) | prob( 99.7 ) | p_value( 1.6E-26 ) | Score( 147.0 ) | SS( 0.0 ) | Cols( 241 ) | QueryHMM( 28-275 ) ]

pdam_00000626-RA  ( 1 ) -> [  Q96P66  | percent(39.76 ) | e_value( 3.7E-36 ) | protein_name( GP101_HUMAN Probable G-protein coupled receptor 101  ) | prob( 100.0 ) | p_value( 8.1E-40 ) | Score( 294.6 ) | SS( 0.0 ) | Cols( 202 ) | QueryHMM( 30-231 ) ]

pdam_00000020-RA  ( 1 ) -> [  Q99463  | percent(81.72 ) | e_value( 2.2E-31 ) | protein_name( NPY6R_HUMAN Putative neuropeptide Y receptor type 6  ) | prob( 99.9 ) | p_value( 6.4E-35 ) | Score( 184.8 ) | SS( 0.0 ) | Cols( 237 ) | QueryHMM( 26-278 ) ]

pdam_00017162-RA  ( 1 ) -> [  Q99500  | percent(74.34 ) | e_value( 4.1E-32 ) | protein_name( S1PR3_HUMAN Sphingosine 1-phosphate receptor 3  ) | prob( 99.9 ) | p_value( 1.2E-35 ) | Score( 202.8 ) | SS( 0.0 ) | Cols( 281 ) | QueryHMM( 40-322 ) ]

pdam_00019688-RA  ( 1 ) -> [  Q99835  | percent(53.49 ) | e_value( 7.3E-57 ) | protein_name( SMO_HUMAN Smoothened homolog  ) | prob( 100.0 ) | p_value( 1.8E-60 ) | Score( 418.9 ) | SS( 0.0 ) | Cols( 421 ) | QueryHMM( 67-489 ) ]

pdam_00004907-RA  ( 1 ) -> [  Q9BY15  | percent(55.98 ) | e_value( 2.2E-56 ) | protein_name( AGRE3_HUMAN Adhesion G protein-coupled receptor E3  ) | prob( 100.0 ) | p_value( 5.3E-60 ) | Score( 474.9 ) | SS( 0.0 ) | Cols( 365 ) | QueryHMM( 234-617 ) ]

pdam_00017189-RA  ( 1 ) -> [  Q9BXE9  | percent(89.39 ) | e_value( 2.3E-09 ) | protein_name( VN1R3_HUMAN Vomeronasal type-1 receptor 3  ) | prob( 97.8 ) | p_value( 6.8E-13 ) | Score( 73.2 ) | SS( 0.0 ) | Cols( 278 ) | QueryHMM( 5-294 ) ]

pdam_00011598-RA  ( 1 ) -> [  Q9GZN0  | percent(79.43 ) | e_value( 1.4E-21 ) | protein_name( GPR88_HUMAN Probable G-protein coupled receptor 88  ) | prob( 99.7 ) | p_value( 4E-25 ) | Score( 145.0 ) | SS( 0.0 ) | Cols( 305 ) | QueryHMM( 30-353 ) ]

pdam_00016974-RA  ( 1 ) -> [  Q9H1Y3  | percent(87.81 ) | e_value( 5.3E-38 ) | protein_name( OPN3_HUMAN Opsin-3  ) | prob( 100.0 ) | p_value( 1.1E-41 ) | Score( 334.1 ) | SS( 0.0 ) | Cols( 353 ) | QueryHMM( 43-402 ) ]

pdam_00004050-RA  ( 1 ) -> [  Q9H228  | percent(74.12 ) | e_value( 8.1E-27 ) | protein_name( S1PR5_HUMAN Sphingosine 1-phosphate receptor 5  ) | prob( 99.8 ) | p_value( 2.3E-30 ) | Score( 175.9 ) | SS( 0.0 ) | Cols( 295 ) | QueryHMM( 41-336 ) ]

pdam_00010283-RA  ( 1 ) -> [  Q9H244  | percent(90.94 ) | e_value( 4.1E-28 ) | protein_name( P2Y12_HUMAN P2Y purinoceptor 12  ) | prob( 99.9 ) | p_value( 1.2E-31 ) | Score( 177.1 ) | SS( 0.0 ) | Cols( 311 ) | QueryHMM( 9-319 ) ]

pdam_00018198-RA  ( 1 ) -> [  Q9HBW9  | percent(75.94 ) | e_value( 2.3E-62 ) | protein_name( AGRL4_HUMAN Adhesion G protein-coupled receptor L4  ) | prob( 100.0 ) | p_value( 4.6E-66 ) | Score( 537.9 ) | SS( 0.0 ) | Cols( 524 ) | QueryHMM( 132-682 ) ]

pdam_00014217-RA  ( 1 ) -> [  Q9NQ84  | percent(72.56 ) | e_value( 5.6E-18 ) | protein_name( GPC5C_HUMAN G-protein coupled receptor family C group 5 member C  ) | prob( 99.4 ) | p_value( 1.5E-21 ) | Score( 144.9 ) | SS( 0.0 ) | Cols( 320 ) | QueryHMM( 46-374 ) ]

pdam_00004370-RA  ( 1 ) -> [  Q9NS66  | percent(86.06 ) | e_value( 3.3E-28 ) | protein_name( GP173_HUMAN Probable G-protein coupled receptor 173  ) | prob( 99.9 ) | p_value( 9.4E-32 ) | Score( 181.0 ) | SS( 0.0 ) | Cols( 321 ) | QueryHMM( 1-358 ) ]

pdam_00020500-RA  ( 1 ) -> [  Q9NYV7  | percent(16.49 ) | e_value( 0.0011 ) | protein_name( T2R16_HUMAN Taste receptor type 2 member 16  ) | prob( 93.1 ) | p_value( 3.1E-07 ) | Score( 42.7 ) | SS( 0.0 ) | Cols( 48 ) | QueryHMM( 9-59 ) ]

pdam_00016973-RA  ( 1 ) -> [  Q9NYV8  | percent(90.85 ) | e_value( 2.2E-10 ) | protein_name( T2R14_HUMAN Taste receptor type 2 member 14  ) | prob( 98.1 ) | p_value( 6.4E-14 ) | Score( 79.4 ) | SS( 0.0 ) | Cols( 288 ) | QueryHMM( 7-301 ) ]

pdam_00010145-RA  ( 1 ) -> [  Q9NZH0  | percent(83.37 ) | e_value( 1.2E-24 ) | protein_name( GPC5B_HUMAN G-protein coupled receptor family C group 5 member B  ) | prob( 99.8 ) | p_value( 3.2E-28 ) | Score( 194.5 ) | SS( 0.0 ) | Cols( 336 ) | QueryHMM( 50-395 ) ]

pdam_00017886-RA  ( 1 ) -> [  Q9UBY5  | percent(79.60 ) | e_value( 6.5E-31 ) | protein_name( LPAR3_HUMAN Lysophosphatidic acid receptor 3  ) | prob( 99.9 ) | p_value( 1.9E-34 ) | Score( 194.9 ) | SS( 0.0 ) | Cols( 281 ) | QueryHMM( 31-316 ) ]

pdam_00006421-RA  ( 1 ) -> [  Q9UJ42  | percent(16.27 ) | e_value( 7.9E-08 ) | protein_name( GP160_HUMAN Probable G-protein coupled receptor 160  ) | prob( 97.3 ) | p_value( 2.3E-11 ) | Score( 67.2 ) | SS( 0.0 ) | Cols( 55 ) | QueryHMM( 243-297 ) ]

pdam_00010951-RA  ( 1 ) -> [  Q9UNW8  | percent(73.95 ) | e_value( 2.7E-24 ) | protein_name( GP132_HUMAN Probable G-protein coupled receptor 132  ) | prob( 99.8 ) | p_value( 7.7E-28 ) | Score( 165.9 ) | SS( 0.0 ) | Cols( 281 ) | QueryHMM( 38-328 ) ]

pdam_00015313-RA  ( 1 ) -> [  Q9UPC5  | percent(77.69 ) | e_value( 3.2E-33 ) | protein_name( GPR34_HUMAN Probable G-protein coupled receptor 34  ) | prob( 99.9 ) | p_value( 9.2E-37 ) | Score( 211.8 ) | SS( 0.0 ) | Cols( 296 ) | QueryHMM( 45-347 ) ]
